class_str,feature,time_label,mean,std,n
wetland_to_woody,SWIR1,2011_2012,0.3395710289478302,0.6578844785690308,1679
wetland_to_woody,SWIR1,2013_2014,0.25251930952072144,0.57041996717453,1679
wetland_to_woody,SWIR1,2015_2016,0.1303945779800415,0.5406925082206726,1679
wetland_to_woody,SWIR2,1997_1998,0.49074915051460266,0.7544263005256653,1679
wetland_to_woody,SWIR2,1999_2000,0.35034939646720886,0.6961001753807068,1679
wetland_to_woody,SWIR2,2001_2002,0.2233426868915558,0.6460186243057251,1679
wetland_to_woody,SWIR2,2003_2004,0.2313963770866394,0.6551509499549866,1679
wetland_to_woody,SWIR2,2005_2006,0.2436935007572174,0.6410175561904907,1679
wetland_to_woody,SWIR2,2007_2008,0.17553071677684784,0.6484267115592957,1679
wetland_to_woody,SWIR2,2009_2010,0.2120663821697235,0.6433337330818176,1679
wetland_to_woody,SWIR2,2011_2012,0.2565189599990845,0.6391730904579163,1679
wetland_to_woody,SWIR2,2013_2014,0.21426863968372345,0.5521252751350403,1679
wetland_to_woody,SWIR2,2015_2016,0.06961117684841156,0.5614693760871887,1679
